time,close
221266800,51.25
221353200,51.9
221439600,53
221698800,52.25
221785200,52
221871600,52.25
221958000,53.5
222044400,54.5
222303600,54.5
222390000,55
222476400,55.5
222562800,57.5
222649200,58
222908400,58.5
222994800,59
223081200,59
223167600,59
223254000,58.5
223513200,58.35
223599600,58
223686000,58.1
223772400,59.5
223858800,59.05
224118000,59.25
224204400,59.25
224290800,59.25
224377200,58.95
224463600,58.5
224722800,58.35
224809200,57.8
224895600,57.9
224982000,58.25
225068400,58.15
225414000,58.25
225500400,58.73
225586800,58.77
225673200,58.86
225932400,59.66
226018800,58.9
226105200,59
226191600,59.05
226278000,59.1
226537200,58.8
226623600,58.5
226710000,58.35
226796400,57.75
226882800,56.2
227142000,56.75
227228400,57.1
227314800,57
227401200,56.8
227487600,57
227746800,56.75
227833200,57
227919600,56.85
228006000,56.85
228092400,56.5
228351600,56
228438000,55.2
228524400,55.3
228610800,55.5
228697200,55.75
228956400,55.6
229042800,55.75
229129200,55
229215600,54.3
229561200,54.6
229647600,54.95
229734000,55.1
229820400,54.8
229906800,55
230166000,54.85
230252400,54.8
230338800,54.3
230425200,53.4
230511600,53.85
230767200,53.5
230853600,53.1
230940000,53.3
231026400,53.65
231112800,53.75
231372000,53.6
231458400,53.8
231544800,53.65
231631200,53.3
231717600,53.25
231976800,53.25
232063200,53.05
232149600,53.3
232236000,53.05
232322400,53
232581600,52.5
232668000,52
232754400,51
232840800,50
232927200,49.3
233186400,48
233272800,48.4
233359200,49.14
233445600,48.9
233532000,49.14
233877600,48.7
233964000,48.85
234050400,48.5
234136800,46.85
234396000,46
234482400,44.05
234568800,43.35
234655200,42
234741600,44.6
235000800,42.5
235087200,42.2
235173600,44.4
235260000,45.5
235346400,44.9
235605600,44.75
235692000,45.2
235778400,45.25
235864800,45.25
235951200,45.45
236210400,45.85
236296800,45.75
236383200,45.8
236469600,45.8
236556000,45.3
236901600,45.2
236988000,45.4
237074400,45
237160800,44.7
237420000,44.5
237506400,44.4
237592800,44
237765600,43.75
238024800,44.3
238111200,44.5
238197600,44.1
238284000,44.1
238370400,44
238629600,44.25
238716000,44
238802400,43.25
238888800,43
238975200,43
239234400,42.5
239320800,43
239493600,42.95
239580000,42.6
239839200,42.5
239925600,42.6
240012000,42.35
240098400,42.2
240184800,42.2
240444000,41.7
240530400,41.7
240616800,41.7
240703200,41.65
240789600,41.7
241048800,41.75
241135200,41.9
241221600,41.85
241308000,41.9
241394400,41.96
241653600,41.92
241740000,42.12
241826400,42.408
241912800,42.4
241999200,43.25
242344800,42.8
242431200,43
242517600,42.8
242604000,43.3
242863200,42.9
242949600,42.15
243036000,42
243122400,42
243208800,42.4
243468000,42.5
243554400,42.75
243640800,42.5
243727200,42.5
243813600,42.5
244072800,42.8
244159200,42.75
244245600,42.5
244332000,42.75
244418400,42.5
244677600,43
244764000,43.35
244850400,43.1
244936800,43.05
245023200,42.55
245282400,42.5
245368800,42.5
245455200,42.55
245541600,42.2
245628000,42.7
245887200,42.7
245973600,42.5
246060000,42.5
246146400,42.4
246232800,42.4
246492000,43.8
