time,close
-3121407238,4.5
-3118988038,4.61
-3113717638,4.86
-3111039238,4.82
-3105768838,4.79
-3103090438,4.84
-3097820038,4.64
-3095228038,4.74
-3092549638,4.86
-3089871238,4.88
-3087365638,5.04
-3084687238,5.18
-3082095238,5.18
-3076824838,5.1
-3074146438,5.04
-3068876038,4.97
-3066197638,4.95
-3060927238,5.11
-3053151238,5.04
-3050559238,5.05
-3045288838,4.97
-3042610438,4.97
-3039932038,4.59
-3037340038,4.19
-3032069638,4.42
-3029391238,4.66
-3021615238,4.6
-3019023238,4.48
-3016344838,4.46
-3013752838,4.46
-3008396038,4.54
-3005804038,4.53
-3000533638,4.54
-2997855238,4.54
-2995176838,4.53
-2992757638,4.59
-2990079238,4.65
-2984808838,4.38
-2982216838,4.39
-2976860038,4.37
-2974268038,4.3
-2971589638,4.37
-2968997638,4.37
-2963640838,4.52
-2961135238,4.51
-2955864838,4.18
-2953186438,4.15
-2947916038,3.93
-2945237638,3.69
-2939967238,3.6
-2937375238,3.58
-2934696838,3.55
-2932018438,3.34
-2929599238,3.17
-2924328838,2.94
-2921650438,2.73
-2916380038,3.05
-2911109638,3.31
-2908431238,3.26
-2903160838,3.25
-2900482438,3.18
-2898063238,3.24
-2895384838,3.33
-2892792838,3.34
-2887522438,3.48
-2884844038,3.45
-2879573638,3.48
-2876895238,3.47
-2871624838,3.58
-2863848838,3.77
-2861256838,3.94
-2855986438,4.04
-2853308038,4.07
-2850629638,4.22
-2848037638,4.68
-2842767238,4.92
-2840088838,5.11
-2834904838,5.3
-2832226438,5.18
-2826956038,4.79
-2824364038,5.01
-2819007238,5.18
-2816415238,5.33
-2813736838,5.61
-2811144838,5.84
-2805788038,6.17
-2803368838,6.24
-2800690438,6.22
-2795420038,6.58
-2792828038,6.35
-2790149638,6.2
-2787471238,6.25
-2782200838,6.19
-2779608838,6.01
-2774252038,5.79
-2771832838,5.78
-2766562438,5.71
-2763884038,5.68
-2758613638,6.18
-2755935238,6.24
-2750664838,5.81
-2748072838,5.84
-2745394438,5.81
-2742716038,5.68
-2740296838,5.75
-2735026438,5.77
-2732348038,5.82
-2727077638,5.47
-2721807238,5.38
-2719128838,5.46
-2713858200,5.18
-2711179800,5.32
-2705995800,5.06
-2703403800,4.65
-2698133400,4.46
-2695455000,4.74
-2692776600,4.59
-2690184600,4.44
-2684914200,4.34
-2682235800,4.24
-2674459800,4.37
-2671867800,4.32
-2669189400,4.3
-2666597400,4.46
-2661240600,4.65
-2658648600,4.92
-2653378200,5.2
-2650699800,5.2
-2648021400,5.3
-2645602200,5.19
-2642923800,5.12
-2637653400,5.25
-2635061400,5.33
-2629704600,5.51
-2627112600,5.65
-2624434200,5.79
-2621842200,5.64
-2616485400,5.54
-2614066200,5.67
-2611387800,5.8
-2606117400,5.73
-2603525400,5.59
-2600847000,5.45
-2598168600,5.38
-2592898200,5.3
-2590306200,5.27
-2584949400,5.28
-2582443800,5.08
-2577173400,5.17
-2574495000,5.01
-2569224600,5.25
-2563954200,5.35
-2561275800,5.24
-2556005400,5.24
-2553327000,5.3
-2550907800,5.19
-2548229400,5.18
-2545637400,5.32
-2540367000,5.3
-2537688600,5.37
-2532418200,5.4
-2529739800,5.35
-2524469400,5.38
-2516693400,5.39
-2514101400,5.62
-2508831000,5.54
-2506152600,5.41
-2503474200,5.32
-2500882200,5.08
-2495611800,4.6
-2492933400,4.84
-2485157400,4.97
-2482565400,4.95
-2479887000,4.85
-2477295000,4.77
-2471938200,5.33
-2469346200,5.33
-2464075800,5.41
-2461397400,5.51
-2458719000,5.52
-2456213400,5.58
-2453535000,5.57
-2448264600,5.54
-2445672600,5.54
-2442994200,5.62
-2440315800,5.48
-2435045400,5.57
-2432453400,5.51
-2427096600,5.51
-2424677400,5.31
-2419407000,4.84
-2416728600,4.61
-2411458200,4.08
-2408779800,4.37
-2403509400,4.57
-2400917400,4.41
-2398239000,4.32
-2395560600,4.38
-2393141400,4.51
-2387871000,4.4
-2385192600,4.34
-2379922200,4.41
-2374651800,4.34
-2371973400,4.34
-2366703000,4.25
-2364024600,4.19
-2361605400,4.19
-2358927000,4.37
-2356335000,4.61
-2351064600,4.72
-2348386200,4.79
-2343115800,4.75
-2340437400,4.59
-2335167000,4.27
-2327304600,4.42
-2324712600,4.4
-2322034200,4.32
-2319442200,4.04
-2314085400,4.01
-2311493400,4.1
-2306223000,4.22
-2303544600,4.22
-2300866200,4.18
-2298447000,4.19
-2295768600,4.06
-2290498200,4.27
-2287906200,4.46
-2282549400,4.98
-2279957400,4.82
-2277279000,4.65
-2274687000,4.75
-2269330200,4.87
-2266911000,4.65
-2264232600,4.57
-2258962200,5.06
-2256370200,5.08
-2253691800,5.27
-2251013400,5.26
-2245743000,5.32
-2243151000,5.65
-2237794200,6.31
-2235375000,6.4
-2230104600,6.21
-2227426200,6.07
-2222155800,6.44
-2219477400,6.37
-2214207000,6.46
-2211615000,6.02
-2208936600,6.1
-2206258200,6.21
-2203839000,6.26
-2198568600,6.04
-2195890200,5.86
-2190619800,5.94
-2185349400,6.01
-2182671000,6.48
-2177400600,7.07
-2174722200,7.25
-2172303000,7.51
-2169624600,8.14
-2167032600,7.73
-2161762200,7.93
-2159083800,8.04
-2153813400,7.91
-2151135000,8.08
-2145864600,8.12
-2138088600,8.48
-2135496600,8.46
-2130226200,8.6
-2127547800,8.83
-2124869400,8.85
-2122277400,8.57
-2117007000,8.05
-2114328600,8.46
-2106552600,7.75
-2103960600,7.6
-2101282200,7.18
-2098690200,6.85
-2093333400,6.47
-2090741400,6.26
-2085471000,6.57
-2082792600,6.68
-2080114200,6.5
-2077608600,6.48
-2074930200,6.64
-2069659800,6.51
-2067067800,6.78
-2064389400,7.01
-2061711000,7.32
-2056440600,8.17
-2053848600,8.25
-2048491800,8.8
-2046072600,9.05
-2040802200,8.5
-2038123800,8.6
-2032853400,9.2
-2030175000,9.23
-2024904600,9.31
-2022312600,9.54
-2019634200,9.87
-2016955800,9.8
-2014536600,9.56
-2009266200,9.18
-2006587800,9.3
-2001317400,9.73
-1996047000,9.73
-1993368600,9.93
-1988098200,9.56
-1985419800,9.26
-1983000600,8.35
-1980322200,8.39
-1977730200,8.1
-1972459800,8.14
-1969781400,7.53
-1964511000,6.64
-1961832600,6.25
-1956562200,6.85
-1948699800,7.24
-1946107800,7.63
-1943429400,7.64
-1940837400,7.92
-1935480600,8.17
-1932888600,8.27
-1927618200,9.03
-1924939800,9.06
-1922261400,8.8
-1919842200,8.92
-1917163800,9.32
-1911893400,9.8
-1909301400,9.94
-1903944600,10.19
-1901352600,10.23
-1898674200,10.18
-1896082200,10.3
-1890725400,9.72
-1888306200,9.96
-1885627800,9.72
-1880357400,9.1
-1877765400,8.64
-1875087000,8.85
-1872408600,8.91
-1867138200,9.31
-1864546200,9.05
-1859189400,9.43
-1856770200,9.32
-1851499800,9.48
-1848821400,9.67
-1843551000,9.17
-1840872600,8.67
-1835602200,9.07
-1833010200,9.11
-1830331800,9.12
-1827653400,9.04
-1825147800,9.3
-1822469400,9.59
-1819877400,9.58
-1814607000,9.59
-1811928600,9.81
-1806658200,9.84
-1803979800,9.73
-1798709400,9.3
-1790933400,8.79
-1788341400,8.55
-1783071000,8.23
-1780392600,8.45
-1777714200,8.53
-1775122200,8.26
-1769851800,8.04
-1767173400,8.37
-1759397400,8.12
-1756805400,8.17
-1754127000,8.13
-1751535000,7.68
-1746178200,7.68
-1743586200,7.68
-1738315800,7.35
-1735637400,7.48
-1732959000,7.38
-1730539800,7.57
-1727861400,8.14
-1722591000,8.04
-1719999000,8.01
-1714642200,8.66
-1712050200,9.14
-1709371800,9.46
-1706779800,9.48
-1701423000,9.2
-1698917400,9.17
-1693647000,9.27
-1690968600,9.36
-1685698200,9.3
-1683019800,9.68
-1677749400,10.21
-1675157400,9.8
-1672479000,9.57
-1669800600,9.03
-1667381400,9.31
-1662111000,8.86
-1659432600,9.04
-1654162200,8.53
-1648891800,7.68
-1646213400,7.04
-1640943000,7.21
-1638264600,7.43
-1635845400,7.28
-1633170600,7.21
-1630578600,7.44
-1625308200,7.51
-1622629800,7.58
-1617359400,7.86
-1614677400,8.06
-1609407000,7.85
-1601634600,8.39
-1599042600,8.97
-1593772200,9.51
-1591093800,8.87
-1588415400,9.01
-1585823400,9.47
-1580549400,8.92
-1577871000,8.83
-1572687000,8.67
-1570012200,8.6
-1564741800,7.92
-1562149800,7.91
-1556793000,7.87
-1554201000,7.88
-1551519000,7.48
-1548927000,6.81
-1543570200,7.06
-1541151000,6.88
-1538472600,6.91
-1533205800,6.55
-1530613800,6.53
-1527935400,6.45
-1525257000,6.61
-1519983000,7.06
-1517391000,7.31
-1512034200,7.46
-1509615000,7.74
-1504348200,8.53
-1501669800,8.45
-1496399400,8.83
-1493721000,9.06
-1488447000,8.8
-1485855000,8.78
-1483176600,8.9
-1480498200,9.28
-1478079000,9.43
-1472812200,8.67
-1470133800,8.34
-1464863400,8.1
-1459589400,8.03
-1456911000,8.27
-1451640600,8.83
-1448962200,8.87
-1443778200,8.5
-1441189800,8.47
-1435919400,9.03
-1433241000,9.34
-1430562600,9.25
-1427967000,9.13
-1422696600,10.16
-1420018200,10.58
-1412242200,10.28
-1409653800,10.61
-1406975400,10.8
-1404383400,11.1
-1399026600,11.51
-1396431000,11.89
-1391160600,12.46
-1388482200,12.65
-1385803800,12.67
-1383384600,11.81
-1380706200,11.48
-1375439400,12.11
-1372847400,12.62
-1367490600,13.32
-1364895000,13.02
-1362216600,13.19
-1359624600,13.49
-1354267800,13.66
-1351848600,13.87
-1349170200,14.21
-1343903400,14.89
-1341311400,15.22
-1338633000,16.03
-1335954600,16.94
-1330680600,17.06
-1328088600,17.46
-1325583000,17.66
-1325237400,17.76
-1325151000,17.719999
-1325064600,17.549999
-1324978200,17.66
-1324719000,17.5
-1324632600,17.370001
-1324546200,17.35
-1324459800,17.469999
-1324373400,17.58
-1324114200,17.290001
-1324027800,17.299999
-1323941400,17.26
-1323855000,17.379999
-1323768600,17.48
-1323509400,17.639999
-1323423000,17.709999
-1323336600,17.52
-1323250200,17.629999
-1323163800,17.690001
-1322904600,17.49
-1322818200,17.57
-1322731800,17.530001
-1322645400,17.629999
-1322559000,17.4
-1322299800,17.450001
-1322213400,17.440001
-1322127000,17.49
-1322040600,17.549999
-1321954200,17.540001
-1321608600,17.440001
-1321522200,17.4
-1321435800,17.35
-1321349400,17.040001
-1321090200,16.950001
-1321003800,17.110001
-1320831000,17.129999
-1320744600,17.18
-1320485400,17.110001
-1320399000,17.16
-1320312600,17.26
-1320226200,17.299999
-1320139800,17.299999
-1319880600,17.57
-1319794200,17.67
-1319707800,17.58
-1319621400,17.639999
-1319535000,17.93
-1319275800,18
-1319189400,17.92
-1319103000,17.93
-1319016600,18.07
-1318930200,18.26
-1318671000,18.360001
-1318584600,18.459999
-1318498200,18.65
-1318411800,18.6
-1318325400,18.780001
-1318066200,19.049999
-1317979800,18.940001
-1317893400,18.889999
-1317807000,18.950001
-1317720600,19.280001
-1317461400,18.91
-1317375000,19.02
-1317288600,18.99
-1317202200,19.23
-1316856600,19.27
-1316770200,19.1
-1316683800,19.440001
-1316597400,19.41
-1316511000,19.73
-1316251800,19.68
-1316165400,19.52
-1316079000,19.52
-1315992600,19.629999
-1315906200,19.34
-1315647000,19.15
-1315560600,19.25
-1315474200,19.33
-1315387800,19.469999
-1315301400,19.68
-1315045800,19.75
-1314959400,19.780001
-1314873000,19.83
-1314786600,19.93
-1314700200,20.24
-1314441000,20.41
-1314354600,20.27
-1314268200,20.24
-1314181800,20.209999
-1314095400,20.360001
-1313836200,20.440001
-1313749800,20.389999
-1313663400,20.049999
-1313577000,20.120001
-1313490600,19.92
-1313231400,19.629999
-1313145000,19.360001
-1313058600,19.75
-1312972200,19.870001
-1312885800,19.9
-1312626600,19.57
-1312540200,19.82
-1312367400,20
-1312281000,20.07
-1312021800,19.799999
-1311935400,19.85
-1311849000,19.66
-1311762600,19.610001
-1311676200,19.370001
-1311417000,18.68
-1311330600,18.34
-1311244200,18.889999
-1311157800,19.049999
-1311071400,18.74
-1310812200,18.4
-1310725800,18.34
-1310639400,18.57
-1310553000,18.559999
-1310466600,18.540001
-1310207400,18.469999
-1310121000,18.68
-1310034600,18.860001
-1309948200,19.07
-1309861800,19.139999
-1309602600,18.98
-1309516200,19.290001
-1309343400,19.48
-1309257000,19.389999
-1308997800,19.459999
-1308911400,19.43
-1308825000,18.950001
-1308738600,18.809999
-1308652200,18.959999
-1308393000,18.700001
-1308306600,18.799999
-1308220200,19.030001
-1308133800,18.99
-1308047400,19.030001
-1307788200,19.120001
-1307701800,19.09
-1307615400,19.200001
-1307529000,19.24
-1307442600,19.42
-1307183400,19.469999
-1307097000,19.43
-1307010600,19.42
-1306924200,19.33
-1306837800,19.360001
-1306578600,19.58
-1306492200,19.49
-1306405800,19.25
-1306319400,19.299999
-1306233000,19.25
-1305973800,19.290001
-1305887400,19.129999
-1305801000,19.469999
-1305714600,19.610001
-1305628200,19.639999
-1305369000,19.77
-1305282600,20.02
-1305196200,20
-1305109800,20.02
-1305023400,20.34
-1304764200,20.379999
-1304677800,20.540001
-1304591400,20.58
-1304505000,20.610001
-1304418600,20.870001
-1304073000,20.969999
-1303986600,21.07
-1303900200,20.940001
-1303813800,21.09
-1303554600,20.92
